Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Павличенко;Віталій;Хомаович;Чоловіча;1990-01-13;Краєзнавець;селище Чорнобиль;шосе Теплична, буд. 3, Біляївка, 04575;016 988-24-30;fartushniakvalentyna@example.org
Саченко;Лілія;Маринаівна;Жіноча;1974-03-17;Ботанік;селище Белз;шосе Пестеля, буд. 26 кв. 820, Мар'їнка, 93232;569-30-86;uverkhovynets@example.net
Скорик;Дан;Микитаович;Чоловіча;1942-02-07;Мистецтвознавець;село Житомир;площа Тульська, буд. 0 кв. 335, Шостка, 01735;957 81 48;jteslenko@example.net
Фастенко;Валентин;Лукʼянович;Чоловіча;1974-03-09;Бібліограф;селище Білопілля;набережна Орловський, буд. 8, Решетилівка, 61307;357-12-68;fhabelko@example.org
Артимишин;Симон;Гаврилоович;Чоловіча;2000-07-21;Пекар;село Новоселиця;узвіз Осіння, буд. 8, Заліщики, 55378;072 808 66 25;dereviankodemyd@example.org
Ільченко;Ярина;Єлисаветаівна;Жіноча;1989-11-29;Живописець;хутір Радехів;провулок 1-ша Лінія Марії Демченко, буд. 7 кв. 804, Великі Мости, 92195;373-26-07;violetta83@example.net
Абрагамовська;Златослава;Даннаівна;Жіноча;1949-03-25;Головний меркшейдер;хутір Коростишів;узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 6, Докучаєвськ, 52453;+380 46 944-26-38;xnesterenko@example.com
Шелест;Єва;Валентинаівна;Жіноча;1973-10-16;Мовознавець;хутір Кадіївка;провулок Західний 1-й, буд. 67 кв. 92, Гола Пристань, 80026;374-49-40;mykhailo58@example.com
Євтушенко;Валентина;Мартаівна;Жіноча;1963-08-09;Стропальник;село Вознесенськ;проспект Басейний 3-й, буд. 28, Звенигородка, 33834;+380 52 825-11-04;zlatoslava94@example.org
Титаренко;Миколай;Віталійович;Чоловіча;1960-02-25;Візажист;село Кам'янець-Подільський;шосе Лузанівський 2-й, буд. 84 кв. 36, Дубно, 25574;+380 (68) 909-55-73;alevtyn59@example.net
Устенко;Олесь;Кирилоович;Чоловіча;1968-05-27;Хореограф;селище Жданівка;площа Кришталевий, буд. 4, Вишгород, 04221;021 960-84-11;allaievdokymenko@example.org
Сіробаба;Альберт;Семенович;Чоловіча;1945-12-07;Фрілансер;хутір Павлоград;набережна Золотий берег, буд. 83, Шумськ, 78551;+380 02 778-26-72;kozachenkoorysia@example.org
Зінченко;Тимофій;Аркадійович;Чоловіча;1940-03-09;Бібліотекар;хутір Нове Давидково;узвіз Літня, буд. 401 кв. 877, Каховка, 85886;092 595-79-59;volodymyrafranchuk@example.org
Акуленко;Венедикт;Амвросійович;Чоловіча;1946-03-11;Реставратор;місто Бар;парк Москвіна, буд. 5, Сєвєродонецьк, 75771;409 76 18;ihortsymbal@example.net
Назаренко;Ярослава;Ганнаівна;Жіноча;1992-01-13;Підприємець;селище Ходорів;вулиця Спаський, буд. 6 кв. 93, Калинівка , 83517;+380 47 294-20-92;hvovk@example.com
Тимчук;Ада;Аллаівна;Жіноча;1985-10-03;Реабілітолог;село Токмак;парк Сєченова, буд. 532, Карлівка, 13388;+380 17 697 60 16;tpavlychenko@example.com
Павличенко;Оксенія;Сніжанаівна;Жіноча;1940-12-19;Євнух;селище Ровеньки;вулиця Цементний, буд. 980, Ірміно, 48381;+380 (71) 459-38-72;okhomenko@example.org
Іваничук;Мирон;Богуславович;Чоловіча;1978-12-30;Клоун;село Прип'ять ;парк Миколаївська дорога, буд. 540 кв. 293, Ланівці, 49471;926-24-69;vlasiukmykhailo@example.org
Зінченко;Єва;Соломіяівна;Жіноча;1967-04-25;Астронавт;селище Ізюм;площа Саксаганського, буд. 318, Коростишів, 91747;712 35 15;zasukhaoleksandr@example.com
Москаль;Ростислав;Євгенович;Чоловіча;1998-08-03;Модельєр;селище Монастириська;проспект Дачна, буд. 848 кв. 9, Тернівка , 37527;050 870 82 69;nataliiahavriushenko@example.net
Зінченко;Василина;Варвараівна;Жіноча;1970-02-13;Реставратор;селище Балаклія;парк Лузанівка, буд. 82 кв. 41, Іллінці, 32784;008 45 94;orysia11@example.net
Гайдай;Франц;Леонтійович;Чоловіча;1971-10-27;Нотаріус;село Миронівка;площа Болградська, буд. 0, Волочиськ, 16058;+380 66 491-98-00;bohdannakovalenko@example.org
Іващенко;Вʼячеслав;Францович;Чоловіча;2001-08-24;Скульптор;місто Заводське;площа Квітковий, буд. 1 кв. 8, Сулимівка (Слов'янськ), 96241;+380 46 138-99-72;iarynamasokha@example.net
Артюшенко;Камілла;Надіяівна;Жіноча;1977-03-10;Реставратор;селище Кролевець;набережна Лазурний 5-й, буд. 984, Андрушівка, 78986;+380 07 281-75-04;ulahoda@example.net
Рудько;Орина;Людмилаівна;Жіноча;1993-11-03;Геофізик;місто Дніпрорудне;шосе Махачкалинська, буд. 779 кв. 3, Олешки, 42346;+380 74 691 41 46;telizhenkoboryslav@example.net
Базилевич;Лариса;Сніжанаівна;Жіноча;1947-09-02;Зоолог;селище Кам'янець-Подільський;проспект Старицького, буд. 315 кв. 5, Великі Мости, 24126;+380 (14) 067-41-78;olifirenkoada@example.net
Голобородько;Леонід;Назарович;Чоловіча;1990-11-08;Кур'єр;селище Васильків;сквер Зоряна, буд. 400 кв. 015, Глиняни, 06411;834 03 41;stepanstelmakh@example.org
Євтушок;Леопольд;Валентинович;Чоловіча;1984-04-27;Редактор;місто Білгород-Дністровський;вулиця Рожева, буд. 6, Новомосковськ, 80221;099 305 45 03;opanas11@example.net
Шаблій;Мартин;Тимофійович;Чоловіча;1957-02-26;Різноробочий;хутір Сарни;площа Хутірський, буд. 68, Географія Вільнянська, 97752;241-54-23;holykdemian@example.org
Рябченко;Надія;Еміліяівна;Жіноча;1974-11-27;Вчитель;селище Бровари;провулок Чапаєва, буд. 3 кв. 6, Трускавець, 66346;093 150 58 78;vasyllytvynenko@example.net
Годунок;Марина;Клавдіяівна;Жіноча;1998-07-29;Клоун;хутір Вишгород;площа Рибальська, буд. 54, Кіцмань, 63249;+380 (70) 843-62-84;izhakevychsnizhana@example.net
Коваленко;Онисим;Петроович;Чоловіча;1990-08-11;Продюсер;селище Старий Крим;шосе Дунаєвського 3-й, буд. 91, Бережани, 67223;+380 17 886-45-38;ikybkalo@example.org
Євдокименко;Анжела;Анітаівна;Жіноча;1947-11-26;Бухгалтер;селище Антрацит ;сквер Компасний, буд. 3, Перевальськ, 79165;+380 45 342 66 13;holoborodkoievhen@example.com
Пустовіт;Назар;Юстимович;Чоловіча;1949-03-07;Медик;село Бориспіль;вулиця Басейний 3-й, буд. 6, Першотравенськ, 73030;+380 (00) 461-83-88;hryhoriifomenko@example.net
Андрійчук;Омелян;Олексаович;Чоловіча;1994-01-01;Професор;місто Запоріжжя;площа Старокінний, буд. 46 кв. 11, Біляївка, 17519;041 140 96 03;marynastus@example.net
Цибуленко;Едита;Терезаівна;Жіноча;1946-07-29;Ветеринар;хутір Мерефа;вулиця Улітіна, буд. 5 кв. 8, Кодима, 21586;004 926-24-00;eduard93@example.org
Василевич;Ада;Іренаівна;Жіноча;1982-09-08;Промисловець;хутір Вознесенськ;площа Ростовська, буд. 696, Дружба , 92781;399-73-61;milena94@example.net
Щербань;Гордій;Макарович;Чоловіча;1998-04-09;Слідчий;село Луцьк;вулиця Восьмого березня 5-й, буд. 7 кв. 75, Першотравенськ, 87540;036 318-31-68;siurchyshyna@example.net
Бараник;Дан;Германович;Чоловіча;1942-02-25;Астрофізик;місто Мала Виска;сквер Павлодарська, буд. 0, Решетилівка, 93943;018 590 72 27;chubaimykolai@example.org
Джус;Анжела;Анітаівна;Жіноча;1989-07-26;Єгер;селище Жмеринка;сквер Обсерваторний, буд. 74, Жидачів, 61158;+380 (96) 597-65-60;vdubas@example.com
Валенко;Пантелеймон;Валерійович;Чоловіча;1979-09-06;Астронавт;селище Шахтарськ;набережна Костанді, буд. 238 кв. 2, Вільногірськ, 45209;+380 (52) 472-32-46;uvalenko@example.org
Пилипенко;Ірина;Богданнаівна;Жіноча;1989-04-30;Менеджер;селище Мала Виска;вулиця Рівності 1-й, буд. 4 кв. 1, Камінь-Каширський, 08768;+380 31 283-46-56;satsiuknadiia@example.com
Скопенко;Розалія;Едитаівна;Жіноча;1999-04-07;Промисловець;селище Інкерман;вулиця Тимірязєва 3-й, буд. 65, Залізне, 89395;+380 (43) 174-56-41;jbezborodko@example.org
Андрійчук;Володимира;Василинаівна;Жіноча;1940-04-10;Археолог;селище Середина-Буда;проспект Олександра Невського, буд. 9 кв. 21, Жидачів, 07577;+380 83 093-43-02;ivanchenkolevko@example.com
Юрченко;Пантелеймон;Онисимович;Чоловіча;1969-01-26;Диригент;село Марганець ;проспект Об'їзна дорога, буд. 887 кв. 9, Покровськ, 19857;040 84 91;zudovychenko@example.net
Дашенко;Соломія;Ліліяівна;Жіноча;1940-06-17;Стоматолог;місто Верхівцеве;вулиця Квіткова, буд. 321 кв. 6, Глухів, 62326;041 552-95-06;liliiadakhno@example.org
Бабиченко;Левко;Георгійович;Чоловіча;1949-10-29;Фізик;хутір Тараща;набережна Шкодова гора, буд. 3 кв. 001, Білогірськ, 28209;+380 69 733-28-35;pavlo64@example.net
Ковалюк;Євген;Семенович;Чоловіча;1957-11-26;Мовознавець;селище Олександрівськ;провулок Орловський, буд. 2, Таврійськ, 34468;+380 58 602 75 15;qshapoval@example.com
Зінченко;Ігнат;Петроович;Чоловіча;1970-12-15;Пекар;селище Тернопіль;сквер Лесі Українки, буд. 319, Малин, 93154;+380 (07) 625-98-58;isahal@example.com
Сомко;Охрім;Устимович;Чоловіча;1955-05-14;Няня;місто Кролевець;провулок Панаса Мирного, буд. 3, Горлівка, 83289;044 497-03-80;oles95@example.net
Даценко;Амвросій;Давидович;Чоловіча;1992-07-30;Пілот;місто Баштанка;парк Магнітогорський 3-й, буд. 345 кв. 45, Добромиль, 01577;309 84 38;hryhoriipelekh@example.org
Ніколюк;Світлана;Даннаівна;Жіноча;1957-01-21;Слідчий;місто Часів Яр;проспект Воронцовський, буд. 10, Белз, 52118;+380 (73) 419-40-84;stepantykhyi@example.net
Хмара;Леон;Тарасович;Чоловіча;1960-04-09;Живописець;село Семенівка;проспект Восьмого березня узвіз, буд. 565, Армянськ, 52067;059 022 39 38;heorhii18@example.org
Шведченко;Мартин;Симонович;Чоловіча;1994-05-07;Епідеміолог;місто Маріуполь;провулок Морський, буд. 84 кв. 4, Лисичанськ, 66684;+380 21 954-80-96;nfesenko@example.org
Тихий;Варфоломій;Варфоломійович;Чоловіча;1999-12-12;Футболіст;село Амвросіївка;шосе Велика Садова, буд. 9, Погребище, 36925;+380 65 189 54 58;varfolomii06@example.org
Василашко;Зиновій;Хомаович;Чоловіча;2003-06-16;Штукатур;село Білицьке;парк Генуезька, буд. 6 кв. 65, Амвросіївка, 48251;441 55 89;symon08@example.net
Піддубний;Сергій;Васильович;Чоловіча;1962-04-26;Золотар;селище Новий Калинів;шосе Міцкевича, буд. 411, Рубіжне, 20447;010 177 16 05;myron27@example.net
Єременко;Ігор;Дмитроович;Чоловіча;1989-08-22;Ботанік;селище Стрий;сквер Степана Олійника узвіз, буд. 8, Шепетівка, 10572;057 071-97-17;vdotsenko@example.net
Єресько;Надія;Володимираівна;Жіноча;1956-11-16;Науковець;хутір Борщів;узвіз Анни Ахматової, буд. 14, Буринь, 45505;+380 05 898 01 94;panas70@example.com
Авдєєнко;Дарина;Анжелаівна;Жіноча;1947-09-06;Музикознавець;хутір Снігурівка;шосе Розумовський 1-й, буд. 04, Марганець , 81096;041 056-73-71;dmytro68@example.com
Данильчук;Августин;Романович;Чоловіча;1971-08-18;Стропальник;хутір Барвінкове;вулиця Китобійний 1-й, буд. 156, Сновськ, 30114;+380 71 999-30-85;hrytsenkodanylo@example.net
Царенко;Гордій;Євгенович;Чоловіча;1982-09-20;Краєзнавець;місто Вугледар;площа Південна, буд. 21 кв. 3, Ладижин, 25251;034 212 66 30;zinchenkoonysym@example.org
Іщак;Павло;Мирославович;Чоловіча;1942-12-20;Агроном;село Остер ;площа Буніна, буд. 013 кв. 032, Бахмач, 47660;+380 43 386-99-59;avrelii26@example.com
Закусило;Лілія;Любовівна;Жіноча;1950-09-01;Золотар;місто Львів;площа Косовський, буд. 1, Тернопіль, 29602;644 51 49;tandriievych@example.net
Ющенко;Святослава;Ганнаівна;Жіноча;1970-06-14;Біолог;місто Чоп;парк Куниці, буд. 36, Привілля, 79103;+380 78 588 03 91;iosypiesypenko@example.com
Акименко;Гаврило;Миронович;Чоловіча;1941-05-16;Детектив;село Гайворон;сквер Бахчева, буд. 1, Вилкове, 81621;+380 (29) 976-71-12;jsirko@example.com
Пушкар;Ірена;Еміліяівна;Жіноча;1987-09-13;Мистецтвознавець;селище Чигирин;парк Олександра Невського 1-й, буд. 0, Красноград, 65097;+380 (96) 879-97-54;danbabych@example.org
Карась;Геннадій;Олесьович;Чоловіча;1952-04-04;Інженер;селище Бібрка;площа Туристський, буд. 5, Сторожинець, 74879;+380 (96) 741-48-49;les50@example.net
Шаповал;Анжела;Соломіяівна;Жіноча;1982-12-29;Кушнір;хутір Південне ;вулиця Пересипська 7-ма, буд. 205 кв. 29, Каховка, 75220;+380 53 320 99 44;roksolana17@example.com
Іващенко;Тарас;Зиновійович;Чоловіча;1978-05-09;Фізик;місто Торецьк;площа Онілової, буд. 8, Балаклія, 84533;+380 39 031-20-69;stefanaleksandrenko@example.net
Оніщук;Климент;Хомаович;Чоловіча;1993-04-01;Редактор;місто Зборів;парк Соборна, буд. 3 кв. 6, Золоте, 58460;+380 73 180 31 64;psmyk@example.net
Гриценко;Гордій;Альбертович;Чоловіча;1960-06-06;Складальник;хутір Пологи ;провулок Тінистий, буд. 908 кв. 040, Підгородне, 98332;066 581-17-22;klavdiia79@example.net
Козаченко;Єлисавета;Роксоланаівна;Жіноча;1979-08-20;Перекладач;місто Ворожба;набережна Марата 2-й, буд. 8 кв. 444, Броди, 08818;712 04 48;orest38@example.org
Євтушенко;Лесь;Богодарович;Чоловіча;1979-07-04;Архітектор;хутір Радивилів;парк Мусіна, буд. 943 кв. 12, Рудки, 43189;088 701-96-11;oberemkotrokhym@example.com
Корбут;Пармен;Онисимович;Чоловіча;1994-07-29;Машиніст;хутір Конотоп;проспект Аеропортівська, буд. 49, Узин, 10045;084 12 67;kostiantynchmil@example.org
Лагода;Богданна;Василинаівна;Жіноча;1959-02-12;Композитор;село Семенівка;площа Ромашкова, буд. 23, Генічеськ, 44760;900-64-86;iolifirenko@example.com
Андрієвич;Павло;Іванович;Чоловіча;1971-06-25;Археолог;селище Авдіївка;парк Туристська, буд. 8, Черкаси, 53670;+380 49 135 63 22;jdemianiuk@example.com
Романенко;Василина;Варвараівна;Жіноча;1999-05-17;Фольклорист;село Глухів;парк Шостої 1-й, буд. 1, Костянтинівка, 60442;019 574-02-97;samoilenkoklavdiia@example.net
Піддубний;Леонід;Станіславович;Чоловіча;1948-12-24;Археолог;селище Зміїв;набережна Басейний 6-й, буд. 50, Скадовськ, 38386;+380 20 090 87 16;zakharenkokamilla@example.org
Удовенко;Демид;Русланович;Чоловіча;1989-06-28;Паралегал;місто Миколаївка ;проспект Віри Фігнер, буд. 92 кв. 19, Васильків, 03276;+380 86 291 21 20;xderiazhnyi@example.net
Коваленко;Оксенія;Сніжанаівна;Жіноча;1963-07-05;Диригент;хутір Куп'янськ;проспект Осіння, буд. 2 кв. 05, Первомайський , 65942;657 43 16;anastasiia88@example.com
Михалюк;Варвара;Роксоланаівна;Жіноча;1940-08-26;Психолог;селище Дрогобич;сквер Чапаєва, буд. 91 кв. 90, Алчевськ, 60702;+380 45 322-75-15;parmenivanenko@example.org
Корпанюк;Лариса;Анастасіяівна;Жіноча;1960-02-27;Кінорежисер;хутір Дунаївці;вулиця Костанді 3-й, буд. 5, Лозова , 40667;+380 20 947 82 17;terezakorpaniuk@example.org
Жук;Камілла;Даринаівна;Жіноча;1941-03-07;Сантехнік;хутір Стрий;провулок Котляревського, буд. 0 кв. 14, Бориспіль, 14476;+380 (77) 178-70-99;jzaiets@example.net
Годунок;Вікторія;Святославаівна;Жіноча;1974-12-09;Мірошник;хутір Хмільник;парк Магнітогорський, буд. 7 кв. 29, Жмеринка, 16165;015 601-38-97;mykhailo90@example.com
Шовкопляс;Мартин;Миронович;Чоловіча;1986-03-18;Реставратор;село Болград;площа Оранжерейний, буд. 5 кв. 448, Миколаїв, 72998;799-88-55;boleslavbabak@example.org
Ейбоженко;Зорян;Глібович;Чоловіча;1968-07-06;Водій;село Семенівка;шосе Донецька, буд. 7 кв. 89, Білгород-Дністровський, 99746;+380 81 554 61 97;lahodaanzhela@example.org
Копитко;Богданна;Анастасіяівна;Жіноча;1968-12-31;Археолог;місто Білозерське;провулок Китобійний 2-й, буд. 0, Нетішин, 91066;+380 00 609-80-34;zmakarenko@example.com
Товстуха;Пантелеймон;Олесьович;Чоловіча;1948-04-23;Водій;село Радомишль;узвіз Сабанський, буд. 8, Новомиргород, 31917;+380 95 184-48-34;romanetssofiia@example.net
Дерегус;Микита;Тимофійович;Чоловіча;1981-01-22;Гірник;місто Прилуки;площа Трамвайний, буд. 815, Гірник , 32171;+380 (24) 704-21-81;velychkoanita@example.com
Гресь;Венедикт;Лесьович;Чоловіча;1980-08-21;Літературознавець;хутір Костопіль;проспект Ковалевського узвіз, буд. 19 кв. 4, Теплодар, 48652;051 028-96-22;tiahnybokoleksandr@example.org
Скопенко;Болеслав;Несторович;Чоловіча;1996-04-30;Журналіст;село Кілія;шосе Кривобалківська, буд. 64, Харків, 14781;261 72 96;rizhakevych@example.org
Кабалюк;Ярослава;Ярославаівна;Жіноча;1977-06-30;Кінокритик;селище Жданівка;шосе Сабанєєв, буд. 99 кв. 3, Нова Каховка, 26056;081 694 27 67;gandreiko@example.net
Левченко;Світлана;Надіяівна;Жіноча;1952-02-19;Мірошник;село Сквира;провулок Нафтовиків, буд. 643, Хмільник, 34069;+380 94 380 52 61;qhavryliuk@example.net
Шеремета;Феофан;Семенович;Чоловіча;1977-07-12;Маркетолог;село Боково-Хрустальне;площа Матюшенка, буд. 654, Сміла, 96498;047 373-40-47;symon98@example.com
